time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-29T22:06:15.280Z,46.2803333,-122.2006667,5.279,0.48,ml,11,127,0.04569,0.19,uw,uw61071837,2015-09-29T22:43:50.530Z,"31km S of Morton, Washington",earthquake
2015-09-29T21:51:43.513Z,41.8844,-119.6134,7,1.5,ml,5,219.77,0.151,0.0941,nn,nn00512858,2015-09-29T22:04:55.027Z,"69km ESE of Lakeview, Oregon",earthquake
2015-09-29T21:49:45.750Z,33.8595,-117.5101667,1.5,1.63,ml,48,68,0.06857,0.22,ci,ci37251223,2015-09-29T21:53:49.401Z,"2km SSE of Home Gardens, California",quarry blast
2015-09-29T21:18:12.350Z,41.8693,-119.5556,8.8,1.8,ml,5,309.2,0.196,0.1719,nn,nn00512849,2015-09-29T21:55:41.408Z,"74km ESE of Lakeview, Oregon",earthquake
2015-09-29T21:02:56.420Z,37.8067,-117.0269,11.5,1.9,ml,12,93.86,0.31,0.167,nn,nn00512843,2015-09-29T21:21:55.018Z,"21km ENE of Goldfield, Nevada",earthquake
2015-09-29T21:01:32.340Z,33.8458333,-117.4961667,2.69,0.93,ml,14,107,0.05115,0.2,ci,ci37251207,2015-09-29T21:05:38.476Z,"4km SSE of Home Gardens, California",quarry blast
2015-09-29T20:27:56.320Z,48.5458333,-121.3418333,0.016,1.11,ml,5,212,0.09875,0.12,uw,uw61071802,2015-09-29T21:26:07.210Z,"20km ENE of Rockport, Washington",explosion
2015-09-29T20:27:12.830Z,34.3025,-116.4555,1.53,1.77,ml,51,62,0.06138,0.24,ci,ci37251191,2015-09-29T20:31:12.078Z,"21km N of Yucca Valley, California",earthquake
2015-09-29T20:06:55.520Z,33.2171667,-117.193,0.29,1.03,ml,25,169,0.2182,0.18,ci,ci37251183,2015-09-29T20:11:03.642Z,"5km ENE of Vista, California",earthquake
2015-09-29T19:53:22.750Z,-3.4303,146.4065,24.22,5.3,mb,,38,5.982,1.1,us,us10003iy5,2015-09-29T21:41:50.883Z,"182km SSW of Lorengau, Papua New Guinea",earthquake
2015-09-29T19:51:22.270Z,32.4366667,-116.318,0.27,1.54,ml,15,184,0.2707,0.26,ci,ci37251175,2015-09-29T19:55:33.270Z,"24km SE of Campo, California",earthquake
2015-09-29T19:49:38.100Z,44.3438333,-123.064,0.021,1.33,ml,2,235,0.1661,0.05,uw,uw61071782,2015-09-29T21:04:26.140Z,"8km SW of Brownsville, Oregon",explosion
2015-09-29T19:37:45.400Z,23.9757,121.5665,22.31,4.2,mwr,,84,0.198,0.75,us,us10003iy1,2015-09-29T23:49:07.792Z,"3km W of Hualian, Taiwan",earthquake
2015-09-29T19:37:19.835Z,41.8666,-119.6298,10.3,1.4,ml,5,307.21,0.151,0.1901,nn,nn00512838,2015-09-29T20:26:24.051Z,"69km ESE of Lakeview, Oregon",earthquake
2015-09-29T19:37:06.600Z,37.174,-117.3846,7.7,0.3,ml,9,160.34,0.177,0.1463,nn,nn00512830,2015-09-29T20:38:45.220Z,"60km SSW of Goldfield, Nevada",earthquake
2015-09-29T19:29:01.720Z,35.6751671,-121.0139999,8.24,1.64,md,12,81,0.09898,0.07,nc,nc72532716,2015-09-29T19:30:37.280Z,"13km NNE of Cambria, California",earthquake
2015-09-29T19:09:46.160Z,33.6683333,-117.2323333,2.5,1.59,ml,21,85,0.0748,0.3,ci,ci37251151,2015-09-29T19:13:49.950Z,"9km E of Lake Elsinore, California",earthquake
2015-09-29T18:56:30.596Z,41.8651,-119.6023,8.8,2.2,ml,8,76.65,0.168,0.1678,nn,nn00512823,2015-09-29T19:49:40.777Z,"71km ESE of Lakeview, Oregon",earthquake
2015-09-29T18:49:37.180Z,13.7043,-58.4516,8.03,5,mb,,99,1.213,0.99,us,us10003ixk,2015-09-29T23:44:37.173Z,"127km ENE of Bathsheba, Barbados",earthquake
2015-09-29T18:37:19.000Z,61.5127,-151.3624,61.4,2.5,ml,,,,0.71,ak,ak11726486,2015-09-30T02:40:02.423Z,"74km W of Big Lake, Alaska",earthquake
2015-09-29T18:22:36.281Z,41.8618,-119.597,9.7,1.9,ml,7,204.13,0.173,0.1726,nn,nn00512819,2015-09-29T18:36:07.627Z,"71km ESE of Lakeview, Oregon",earthquake
2015-09-29T17:52:54.510Z,33.8816667,-116.7891667,14.91,0.64,ml,20,58,0.1539,0.19,ci,ci37251095,2015-09-29T17:56:45.828Z,"4km S of Cabazon, California",earthquake
2015-09-29T17:50:14.450Z,1.5909,128.5652,53.88,5,mb,,32,1.448,1.13,us,us10003ix4,2015-09-30T01:52:54.955Z,"63km ESE of Tobelo, Indonesia",earthquake
2015-09-29T17:43:48.250Z,48.4186667,-124.7543333,4.978,0.35,md,4,185,0.1484,0.35,uw,uw61071732,2015-09-29T19:38:17.864Z,"11km WNW of Neah Bay, Washington",earthquake
2015-09-29T17:43:08.720Z,37.7853317,-122.591835,9.81,1.64,md,19,96,0.09313,0.04,nc,nc72532666,2015-09-29T17:44:41.530Z,"11km SSW of Tamalpais-Homestead Valley, California",earthquake
2015-09-29T17:33:56.000Z,64.8809,-147.2385,10.9,2.2,ml,,,,0.6,ak,ak11726442,2015-09-29T18:06:22.811Z,"15km NNE of North Pole, Alaska",earthquake
2015-09-29T17:18:36.604Z,41.8892,-119.618,10.1,1.7,ml,8,178.74,0.146,0.1759,nn,nn00512803,2015-09-29T18:17:43.001Z,"68km ESE of Lakeview, Oregon",earthquake
2015-09-29T17:15:50.810Z,34.3408333,-116.8841667,-0.66,1.46,ml,45,60,0.04746,0.24,ci,ci37251079,2015-09-29T17:19:45.950Z,"10km NNW of Big Bear City, California",earthquake
2015-09-29T16:58:19.000Z,65.9604,-150.8274,8.1,1.4,ml,,,,0.11,ak,ak11726414,2015-09-29T17:21:55.313Z,"104km SE of New Allakaket, Alaska",earthquake
2015-09-29T16:46:15.850Z,-31.5387,-72.0341,10,4.5,mb,,190,0.927,0.49,us,us10003iwh,2015-09-30T00:48:48.212Z,"83km W of Illapel, Chile",earthquake
2015-09-29T16:33:27.760Z,30.3205,69.9278,17.08,4.5,mb,,155,4.274,1.1,us,us10003iwf,2015-09-30T00:36:03.986Z,"60km NE of Barkhan, Pakistan",earthquake
2015-09-29T16:12:53.800Z,13.8399,-58.4046,10,4.7,mb,,99,1.319,0.74,us,us10003iw1,2015-09-30T00:15:37.030Z,"138km ENE of Bathsheba, Barbados",earthquake
